,ID,Source,Customer Segment,Membership Type,Membership Level,Affiliation,IsActive,Gender,Lifetime Days,Country,Yearly_count
1535,1536,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,male,214.0,South Africa,0.6
1195,1196,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,male,214.0,South Africa,0.6
619,620,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALA Alumni,checked,male,366.0,South Africa,1.0
231,232,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Rwanda,0.6
1365,1366,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,214.0,Kenya,0.6
1026,1027,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
1714,1715,RoomMaster,Existing Room member,Free Trial,Senior Leader,Entrepreneur in Residence,checked,female,214.0,Nigeria,0.6
1449,1450,RoomMaster,Joined post-Sprint - June,Staff Membership,Mid-career Leader,AL Staff,checked,female,153.0,Mauritius,0.4
1388,1389,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Nigeria,0.6
1700,1701,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,male,214.0,Nigeria,0.6
204,205,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,214.0,Senegal,0.6
54,55,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214.0,Kenya,0.6
287,288,RoomMaster,The Room staff,Staff Membership,Young Leader,LP Nairobi 2018,checked,male,214.0,Kenya,0.6
114,115,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,214.0,Kenya,0.6
1198,1199,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,male,214.0,Nigeria,0.6
780,781,RoomMaster,The Room staff,Staff Membership,Senior Leader,AL Staff,checked,male,214.0,United Kingdom,0.6
581,582,RoomMaster,"""Lifetime Member"" - joined May",Free Trial,Senior Leader,Corporate Partner,checked,male,153.0,Denmark,0.4
1443,1444,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,female,366.0,United States of America,1.0
837,838,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,184.0,Morocco,0.5
95,96,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,214.0,South Africa,0.6
1039,1040,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,171.0,American,0.5
371,372,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,United Arab Emirates,0.6
1417,1418,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,214.0,Kenya,0.6
1224,1225,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
163,164,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,Kenya,1.0
534,535,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,214.0,Kenya,0.6
1431,1432,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,214.0,Kenya,0.6
390,391,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
174,175,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,214.0,Nigeria,0.6
1403,1404,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,214.0,Nigeria,0.6
548,549,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
1675,1676,RoomMaster,AIIP 2020,Free Trial,Mid-career Leader,AIIP 2020,checked,male,214.0,Nigeria,0.6
1093,1094,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,male,214.0,Kenya,0.6
324,325,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214.0,Australia,0.6
1095,1096,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,male,214.0,United States of America,0.6
240,241,RoomMaster,Joined post-Sprint - May,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,184.0,South Africa,0.5
194,195,RoomMaster,LP Nairobi 2020,Free Trial,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
97,98,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,214.0,United Kingdom,0.6
228,229,RoomMaster,AIIP 2020,Free Trial,Young Leader,AIIP 2020,checked,female,214.0,South Africa,0.6
639,640,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,female,214.0,Ghana,0.6
1530,1531,RoomMaster,XL Dakar,Free Trial,Young Leader,XL Dakar,checked,female,214.0,Senegal,0.6
1353,1354,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALUSB Alumni,checked,female,214.0,South Africa,0.6
162,163,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,Benin,1.0
1188,1189,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,214.0,Senegal,0.6
1553,1554,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,184.0,Nigeria,0.5
509,510,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,AIIP 2020,checked,female,214.0,South Africa,0.6
1674,1675,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,214.0,Kenya,0.6
914,915,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,171.0,Nigeria,0.5
1023,1024,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,214.0,Kenya,0.6
1223,1224,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,184.0,Mauritius,0.5
44,45,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366.0,South Africa,1.0
855,856,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,171.0,Saudi Arabia,0.5
1499,1500,RoomMaster,Existing Room member,Founding Member,Senior Leader,Advisory Council,checked,female,366.0,United States of America,1.0
1701,1702,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,214.0,Kenya,0.6
640,641,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Kenya,1.0
1413,1414,RoomMaster,DSLP Nairobi 2020,Premium Paying,Young Leader,DSLP Nairobi 2020,checked,male,214.0,Kenya,0.6
424,425,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,Staff Alumni,checked,female,214.0,United States of America,0.6
1114,1115,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,366.0,Nigeria,1.0
869,870,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,The Room,checked,male,366.0,Rwanda,1.0
1374,1375,RoomMaster,XL Lagos,Free Trial,Young Leader,XL Lagos,checked,male,214.0,Nigeria,0.6
529,530,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,female,214.0,Cote d'Ivoire,0.6
405,406,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,female,214.0,Kenya,0.6
443,444,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,female,214.0,Kenya,0.6
1503,1504,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,The Room,checked,female,366.0,United States of America,1.0
