ID,Source,Customer Segment,Membership Type,Membership Level,Affiliation,IsActive,Gender,Lifetime Days,Country,Year_count
1,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,366,United States of America,1.0
2,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,female,214,Kenya,0.6
3,RoomMaster,ALU Staff,Staff Membership,Senior Leader,AL Staff,checked,male,214,Mauritius,0.6
4,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2020,checked,female,214,Kenya,0.6
5,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,female,214,South Africa,0.6
6,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,214,Kenya,0.6
7,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,male,214,Kenya,0.6
8,RoomMaster,Existing Room member,Founding Member,Senior Leader,Missing Data,checked,female,366,United States of America,1.0
9,RoomMaster,Existing Room member,Free Trial,Young Leader,AIIP 2020,checked,female,214,South Africa,0.6
10,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,male,214,Kenya,0.6
11,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,214,Nigeria,0.6
12,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,214,Kenya,0.6
13,RoomMaster,Joined post-Sprint August,Premium Paying,Mid-career Leader,ALUSB 2016 Alumni ISA,checked,male,92,Ghana,0.3
14,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,214,South Africa,0.6
15,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,214,Nigeria,0.6
16,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,214,South Africa,0.6
17,RoomMaster,AIIP 2018,Free Trial,Mid-career Leader,AIIP 2018,checked,male,214,South Africa,0.6
